83554;-19;302.33
83612;-20.47;305.33
83649;-20.27;319.72
83746;-22.82;316.75
83768;-23.33;308.87
83779;-23.52;313.37
83827;-25.52;305.42
83840;-25.52;310.83
83899;-27.67;311.45
83928;-29.78;302.97
83937;-29.72;306.3
83971;-30;308.82
85469;-27.13;250.53
88889;-51.82;301.55
89009;-90;0
89512;-70.77;11.83
89532;-69;39.58
89571;-68.58;77.98
89592;-66.55;93.02
89611;-66.25;110.53
89642;-66.67;140.02
89664;-77.85;166.67
91165;21.99;200.66
91212;13.48;144.79
91285;19.72;204.95
91334;7.45;151.84
91366;8.73;167.73
91376;7.07;171.29
91413;9.5;138.08
91517;-9.42;160.05
91532;-0.52;166.92
91592;-22.27;166.45
91610;1.35;172.92
91643;-8.52;179.22
91680;-17.75;177.45
91765;-14.34;189.28
91843;-21.2;200.18
91925;-9.8;220.97
91938;-17.55;210.38
91948;-23.13;225.03
92035;-9.38;147.22
92044;-2.07;147.43
93112;-36.78;174.62
93417;-40.9;174.98
93844;-46.42;168.32
93986;-43.95;183.43
93997;-29.25;182.08
94120;-12.43;130.87
94150;-12.28;136.82
94170;-12.68;141.92
94203;-17.95;122.23
94294;-19.25;146.77
94299;-16.3;149.98
94302;-22.23;114.08
94312;-20.37;118.63
94326;-23.8;133.9
94332;-20.68;139.48
94374;-23.38;150.48
94403;-28.8;114.7
94430;-26.62;118.55
94461;-25.03;128.28
94578;-27.43;153.08
94610;-31.93;115.97
94637;-30.78;121.45
94638;-33.83;121.88
94647;-31.67;128.88
94672;-34.95;138.53
94711;-31.48;145.83
94776;-32.82;151.83
94802;-34.95;117.8
94821;-37.73;140.78
94866;-37.67;144.85
94910;-35.17;147.47
94975;-42.83;147.5
94995;-31.53;159.07
94996;-29.03;167.93
94998;-54.5;158.95
95527;-29.48;149.85
96035;3.57;98.68
96147;3.95;108.38
96163;-0.88;100.35
96237;-2.17;106.13
96315;4.93;114.93
96413;1.48;110.33
96441;3.2;113.03
96481;4.27;117.87
96749;-6.12;106.65
96935;-7.37;112.77
96996;-12.18;96.83
97014;1.53;124.92
97072;-0.68;119.73
97180;-5.07;119.55
97560;-1.18;136.12
97724;-3.7;128.08
97980;-8.47;140.38
